bucket,win_rate,n,feature,target,threshold
"(-1.101, -0.561]",0.222052067381317,653,close_vs_ema24,put_win_2p5,2.5
"(-0.561, -0.301]",0.19295558958652373,653,close_vs_ema24,put_win_2p5,2.5
"(-0.301, -0.114]",0.16845329249617153,653,close_vs_ema24,put_win_2p5,2.5
"(-0.114, 0.0422]",0.13169984686064318,653,close_vs_ema24,put_win_2p5,2.5
"(0.0422, 0.213]",0.15184049079754602,652,close_vs_ema24,put_win_2p5,2.5
"(0.213, 0.42]",0.1669218989280245,653,close_vs_ema24,put_win_2p5,2.5
"(0.42, 0.673]",0.14701378254211334,653,close_vs_ema24,put_win_2p5,2.5
"(0.673, 1.142]",0.2006125574272588,653,close_vs_ema24,put_win_2p5,2.5
"(1.142, 8.344]",0.3124042879019908,653,close_vs_ema24,put_win_2p5,2.5
"(-12.006, -2.532]",0.31393568147013784,653,close_vs_ema168,put_win_2p5,2.5
"(-2.532, -1.615]",0.23889739663093415,653,close_vs_ema168,put_win_2p5,2.5
"(-1.615, -0.877]",0.22970903522205208,653,close_vs_ema168,put_win_2p5,2.5
"(-0.877, -0.231]",0.22358346094946402,653,close_vs_ema168,put_win_2p5,2.5
"(-0.231, 0.258]",0.14548238897396631,653,close_vs_ema168,put_win_2p5,2.5
"(0.258, 0.761]",0.14877300613496933,652,close_vs_ema168,put_win_2p5,2.5
"(0.761, 1.287]",0.13935681470137826,653,close_vs_ema168,put_win_2p5,2.5
"(1.287, 1.971]",0.1225114854517611,653,close_vs_ema168,put_win_2p5,2.5
"(1.971, 3.068]",0.15926493108728942,653,close_vs_ema168,put_win_2p5,2.5
"(3.068, 8.293]",0.3108728943338438,653,close_vs_ema168,put_win_2p5,2.5
"(6.149, 17.826]",0.12404287901990811,653,rv_24h,put_win_2p5,2.5
"(17.826, 22.257]",0.13782542113323124,653,rv_24h,put_win_2p5,2.5
"(22.257, 25.493]",0.15007656967840735,653,rv_24h,put_win_2p5,2.5
"(25.493, 29.316]",0.12098009188361408,653,rv_24h,put_win_2p5,2.5
"(29.316, 32.873]",0.21592649310872894,653,rv_24h,put_win_2p5,2.5
"(32.873, 37.086]",0.23773006134969324,652,rv_24h,put_win_2p5,2.5
"(37.086, 43.218]",0.24042879019908117,653,rv_24h,put_win_2p5,2.5
"(43.218, 49.936]",0.2006125574272588,653,rv_24h,put_win_2p5,2.5
"(49.936, 63.118]",0.16539050535987748,653,rv_24h,put_win_2p5,2.5
"(63.118, 160.504]",0.43950995405819293,653,rv_24h,put_win_2p5,2.5
"(0.00038999999999999994, 0.0847]",0.14634146341463414,656,rv_rank,put_win_2p5,2.5
"(0.0847, 0.157]",0.24311926605504589,654,rv_rank,put_win_2p5,2.5
"(0.157, 0.245]",0.14021571648690292,649,rv_rank,put_win_2p5,2.5
"(0.245, 0.35]",0.1035007610350076,657,rv_rank,put_win_2p5,2.5
"(0.35, 0.453]",0.23511450381679388,655,rv_rank,put_win_2p5,2.5
"(0.453, 0.548]",0.1563467492260062,646,rv_rank,put_win_2p5,2.5
"(0.548, 0.669]",0.19754977029096477,653,rv_rank,put_win_2p5,2.5
"(0.669, 0.79]",0.23170731707317074,656,rv_rank,put_win_2p5,2.5
